Molecule ChEMBL ID,Canonical_smiles,Papp_(ucm/s),MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons,FilterItLogS
CHEMBL2023067,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c(Br)c[nH]c2c1=O,18.41,427.306,103.73,2.33458,2.0,6.0,3.0,1.4074074074074074,2.2222222222222223,3.0,0.0,138.0,-4.756145515
CHEMBL213888,Nc1noc2ccc(-n3nc(C(F)(F)F)c4c3C(=O)N(c3ccc(-c5ccccc5CN5CCC(O)CC5)cc3)CC4)cc12,0.4,602.6170000000001,113.65,5.441100000000005,2.0,8.0,5.0,0.9772727272727272,1.7045454545454546,2.4545454545454546,0.0,226.0,-7.413988934
CHEMBL248179,Cc1c(CN(CCc2ccc(Cl)cc2)C2CCN(C(=O)c3c(F)cccc3F)CC2)c(=O)n(-c2ccc(F)cc2)n1C,8.1,597.0810000000002,50.48,5.904620000000006,0.0,5.0,8.0,0.9523809523809524,1.5714285714285714,2.1904761904761907,0.0,220.0,-8.301280134
CHEMBL401979,CC(=O)N1C[C@@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)[C@@H](C(=O)NO)C1,0.2,462.50600000000014,120.86,2.20432,3.0,6.0,6.0,1.1176470588235294,1.8529411764705883,2.5588235294117645,0.0,176.0,-4.996732232
CHEMBL600886,O=C(NC[C@H](O)c1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,28.0,499.4930000000002,98.66,2.9212000000000016,2.0,6.0,6.0,0.9166666666666666,1.5833333333333333,2.2222222222222223,0.0,188.0,-5.339563068
CHEMBL477948,CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2CCCCC21,3.1,524.6650000000003,145.23999999999998,3.2201000000000013,3.0,7.0,5.0,1.2285714285714286,1.9142857142857144,2.571428571428572,0.0,192.0,-5.059278243
CHEMBL259520,COc1cccc(CN2C(=O)C[C@]3(C2=O)C(=O)N(CC(=O)O)c2ccc(Cl)cc23)c1,0.8,428.82800000000015,104.22,1.9767,1.0,5.0,5.0,1.1333333333333333,1.8666666666666667,2.566666666666667,0.0,154.0,-4.386969384
CHEMBL1778394,CCc1ccc(Nc2nc3cc(Oc4ccnc(C(=O)NC)c4)ccc3o2)cc1,10.0,388.4270000000001,89.28000000000002,4.680700000000003,2.0,6.0,6.0,1.0689655172413792,1.862068965517241,2.6206896551724137,0.0,146.0,-6.966039699
CHEMBL439066,Cc1cc(COc2ccc(C(=O)N[C@@H]3CN(Cc4ccco4)C[C@@H]3C(=O)NO)cc2)c2ccccc2n1,1.1,500.5550000000002,116.93,3.451020000000001,3.0,7.0,8.0,1.108108108108108,1.9189189189189189,2.675675675675676,0.0,190.0,-6.30072534
CHEMBL1828807,COCCn1cc(C(=O)Nc2cccc3ccccc23)c2ccccc21,27.0,344.4140000000001,43.26,4.693200000000004,1.0,3.0,5.0,0.9615384615384616,1.6923076923076923,2.5384615384615383,0.0,130.0,-5.736189908
CHEMBL507519,Cc1cccc(C(=O)N2c3cccc(O)c3NC3=C(C(=O)CC(C)(C)C3)[C@@H]2c2ccc(OCc3ccccc3)cc2F)n1,11.6,577.6560000000004,91.76000000000002,7.270520000000007,2.0,6.0,5.0,1.0465116279069768,1.813953488372093,2.558139534883721,0.0,218.0,-9.088274738
